Name,Abkürzung,Typ,Abteilung,Fachbereich,Link,Beschreibung,Ansprechpartner*In,Aktualisiert
Global Health Alliance Deutschland,GHA-D,Netzwerk,,Globale Gesundheit Lehre,https://www.bvmd.de/unsere-arbeit/projekte/gandhi/global-health-deutschlandweit/,"as Ziel der Global Health Alliance Deutschland (GHA-D) ist es, Lehre, Forschung und die Umsetzung von Globaler Gesundheit an deutschen Universitäten zu stärken. Dazu gibt es vier Arbeitsgruppen: 1) GH Lehre im Studium 2) GH Lehre postgradual (Fort- und Weiterbildung) 2) GH Lehre postgradual (Fort- und Weiterbildung) 2) GH Lehre postgradual (Fort- und Weiterbildung)",generische Mailadresse (info@gha-d.org),N 18
Students for Planetary Health,SfPH,Studierendenorganisation,,Planetare Gesundheit,https://plattform-n.org/project/students-for-planetary-health-berlin-sf/,"Die Students for Planetary Health Berlin (SfPHBerlin) haben sich zum Ziel gesetzt, durch Projekte und Aktionen die Strömung Planetary Health voranzutreiben und für die planetare Gesundheit als solche zu wirken.",generische Mailadresse (planetaryhealth.berlin@gmail.com),N 18
Universities Allied for Essential Medicines Deutschland,UAEM,Studierendenorganisation,,Zugang zu Medikamenten,https://www.facebook.com/UAEMGermany/,"UAEM ist eine internationale Studierendenorganisation, welche sich für den besseren Zugang zu notwendigen Medikamenten sowie für transparente Forschung und Entwicklung von pharmazeutischen Produkten einsetzt.",,N 18
Deutsche Gesellschaft für Public Health -Studierende,DGPH,Studierendenorganisation,Fachbereich Studierende,Allgemein,http://www.deutsche-gesellschaft-public-health.de/fachbereiche/studierende/,"Die Ziele des FB Studierende liegen vor allem in der Interessensvertretung von Public Health Studierenden im gesamten Bundesgebiet, der Zugänglich-machung von Informationen für Schüler*innen (v.a. zur Studienorientierung) und Studierende (v.a. zur Vernetzung und Berufsorientierung) sowie der gezielten Projektarbeit (strukturell abgebildet in der Arbeit der AGs). Darüber hinaus soll der bundesweite Austausch von Public Health Studierenden gefördert werden.",generische Mailadresse (studierende@dg-public-health.de),N 18
Internationale Ärzte für die Verhütung des Atomkrieges,IPPNW,NGO,Soziale Verantwortung,,www.ippnw.de,"In einer globalisierten Welt sind die wesentlichen Einflussfaktoren für Gesundheit und Wohlbefinden der Menschen nicht mehr allein auf nationaler Ebene beeinflussbar. Die innerhalb und zwischen den Ländern beständig anwachsende Ungleichheit von Einkommen und Vermögen, der Klimakrise, die Deregulierung der internationalen Finanz und Warenströme, Kriege und gewalttätige Konflikte, der Umgang mit den natürlichen Ressourcen der Welt: All das hat erheblichen Einfluss auf die Gesundheit der Menschen und macht zugleich globales Handeln unumgänglich. Die IPPNW arbeitet in der Plattform für Globale Gesundheit mit und organisiert jährlich in Zusammenarbeit mit dem Institut für Sozialmedizin, Epidemiologie und Gesundheitsökonomie der Charité eine Global Health-Sommerakademie für Studierende und Berufsanfänger*innen.",kontakt@ippnw.de,F 19
Plattform Globale Gesundheit,DPGG,Netzwerk,,,https://www.plattformglobalegesundheit.de/,"Gleiche Gesundheitschancen weltweit. Gemeinhin gilt vielen Menschen Gesundheit als höchstes Gut. Nimmt man die Definition von Gesundheit der WHO-Verfassung von 1948 als „Zustand vollständigen körperlichen, geistigen und sozialen Wohlergehens und nicht nur das Fehlen von Krankheit oder Gebrechen“ ernst, muss eine gesundheitsfördernde Politik nicht nur eine gute Versorgung im Krankheitsfall gewährleisten, sondern vor allem Bedingungen schaffen, die ein gesundes Leben ermöglichen.",info@plattformglobalegesundheit.de,F 19
AG Klimawandel und Gesundheit,KLUG,Netzwerk,,,https://www.klimawandel-gesundheit.de/,"Wir haben als Gruppe engagierter Einzelpersonen aus dem Gesundheitsbereich im Oktober 2017 die „Deutsche Allianz Klimawandel und Gesundheit“ gegründet. Wir sind ein wachsendes Netzwerk aus ganz Deutschland, welches bestehende Projekte und Initiativen zum Thema Klimawandel und Gesundheit vernetzen und stärken will, aber auch eigene Prioritäten und strategische Ziele verfolgt.",kontakt@klimawandel-gesundheit.de,M 19
Robert Koch Institut,RKI,Bundesinstitut,,,www.rki.de,"Das Robert Koch-Institut (RKI) ist ein Bundesinstitut im Geschäftsbereich des Bundesministeriums für Gesundheit. Das RKI ist die zentrale Einrichtung der Bundesregierung auf dem Gebiet der Krankheitsüberwachung und -prävention und damit auch die zentrale Einrichtung des Bundes auf dem Gebiet der anwendungs- und maßnahmenorientierten biomedizinischen Forschung. Die Kernaufgaben des RKI sind die Erkennung, Verhütung und Bekämpfung von Krankheiten, insbesondere der Infektionskrankheiten.",,M 19
Universität Osnabrück,,Universität,New Public Health,Institut für Gesundheitsforschung und Bildung,https://www.igb.uni-osnabrueck.de/startseite/institut_fuer_gesundheisforschung_und_bildung.html,Das Institut für Gesundheitsforschung und Bildung (IGB) trägt mit seiner Forschung und seinem Lehrangebot zur Gestaltung der Gesundheitsversorgung und der Humandienstleistungen sowie zur Fachkräfteentwicklung in diesen Berufsfeldern bei.,birgit.babitsch@uni-osnabrueck.de,M 19
Global Health Alliance-Deutschland,GHA-D,Netzwerrk,,Globale Gesundheit,gha-d.org,Die GHA-D ist ein deutschlandweites Netzwerk von Studierenden und Lehrenden mit Interesse an und Expertise in Global Health. Die GHA-D ist ein deutschlandweites Netzwerk von Studierenden und Lehrenden mit Interesse an und Expertise in Global Health.,,M 19
UnifiedForHealth,UFH,Platform,,Global Health,unifiedforhealth.org,"UnifiedForHealth versteht sich als Plattform und Organisation. Sie hat das Bestreben, in Anlehnung an das Nachhaltigkeitsziel 3 der Agenda für nachhaltige Entwicklung, die von der WHO erklärten Zielen zur universellen Gesundheitsversorgung durch seine Projekte zu unterstützen.
 Das Konzept von UFH basiert auf der Etablierung länderübergreifender Partnerschaften, die durch regelmäßigen Erfahrungsaustausch gemeinschaftlich Projekte entwickeln und umsetzen.",team@unifiedforhealth.org,M 19
Universität Bielefeld,,Universität,,,,,,M 19
Universität Bremen,,Universität,,,,,,M 19
Charité,,Universität,,,,,,M 19
Akademie für öffentliches Gesundheitswesen Düsseldorf,,Universität,,,,,,M 19
Tierärzte ohne Grenzen e.V. / Vétérinaires sans Frontières,ToG,NGO,Zivilgesellschaft,,https://www.togev.de/themen.html,"Tierärzte ohne Grenzen e.V. unterstützt Menschen in Ostafrika, deren Lebensgrundlage Landwirtschaft und Tierhaltung bilden. Projektregionen sind Somalia, Kenia, Äthiopien, Südsudan und Sudan. Hier implementieren wir unsere Projekte der Humanitären Hilfe und Entwicklungszusammenarbeit nach dem One Health Ansatz in Bereichen Tiergesundheit, Zoonosenbekämpfung (u.a. NTDs), Ernährungssicherung, Lebensmittelhygiene, Agrarwirtschaft, Einkommenssicherung, Dürreprävention und -bekämpfung sowie Friedensbildung.",antonia.braus@togev.de,M 19
Deutsche Gesellschaft für Public Health -Studierende,,,,,,,,
Mannheimer Institut für Public Health,MIPH,Universitäres Institut,,,https://www.umm.uni-heidelberg.de/miph/,"Das Mannheimer Institut für Public Health, Sozial- und Präventivmedizin (MIPH) ist eine wissenschaftliche Einrichtung der Universität Heidelberg. Hier forscht und lehrt ein multidisziplinäres Team aus Wissenschaftlern, Doktoranden und administrativen Mitarbeitern unter Leitung des Direktors Prof. Dr. med. Joachim Fischer (MSc). Primäres Ziel des MIPH ist die Entwicklung und Implementierung innovativer und ganzheitlicher Strategien zur Erhaltung der Gesundheit und zur Krankheitsprävention in der Gesellschaft. Public Health-Forschung unter Berücksichtigung sozialer, psychologischer und biologischer Kontexte steht hierbei im Mittelpunkt.",,
"Akademie für Gesundheit, Ernährung und Verbraucherschutz",,Ausbildung,,,www.lgl.bayern.de/das_lgl/organisation/abteilungen/stabsstelle_a.htm,,,
"Akademie für Krisenmanagement, Notfallplanung und Zivilschutz am BBK",AKNZ,Ausbildung,,,http://www.bbk.bund.de/DE/AufgabenundAusstattung/AKNZ/aknz_node.html,,,
Akademie für öffentliches Gesundheitswesen Düsseldorf,,Ausbildung,,,http://www.akademie-oegw.de,,,
Bundesarbeitsgemeinschaft für Sicherheit und Gesundheit bei der Arbeit,,Fachgesellschaft,,,www.basi.de,,,
Deutsche Gesellschaft für Arbeits- und Umweltmedizin,,Fachgesellschaft,,,http://www.dgaum.de,,,
Verband Deutscher Betriebs- und Werksärzte e.V.,,Fachgesellschaft,,,http://www.vdbw.de,,,
Deutsche Gesellschaft für Ernährung,DGE,Fachgesellschaft,,,www.dge.de,,,
Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften (AWMF),,Fachgesellschaft,,,,,,
BVÖGD,,Fachgesellschaft,,,www.bvoegd.de,,,
Deutsche Adipositas Gesellschaft,,Fachgesellschaft,,,www.adipositas-gesellschaft.de,,,
Deutsche Gesellschaft für Epidemiologie,DGEpi,Fachgesellschaft,,,http://www.dgepi.de/,,,
Deutsche Gesellschaft für Gesundheit und Prävention e.V.,,Fachgesellschaft,,,www.dggp.org,,,
Deutsche Gesellschaft für Gesundheitsökonomie e.V.,dggö,Fachgesellschaft,,,www.dggoe.de,,,
Deutsche Gesellschaft für Hygiene und Mikrobiologie ,DGHM,Fachgesellschaft,,,http://www.dghm.org/,,,
Deutsche Gesellschaft für Kinder- und Jugendmedizin,,Fachgesellschaft,,,https://www.dgkj.de/,,,
Deutsche Gesellschaft für Krankenhaushygiene,,Fachgesellschaft,,,http://www.krankenhaushygiene.de/,,,
"Deutsche Gesellschaft für Medizinische Informatik, Biometrie und Epidemiologie",GDMS,Fachgesellschaft,,,https://gmds.de/,,,
Deutsche Gesellschaft für Medizinische Soziologie,DGMS,Fachgesellschaft,,,https://www.dgms.de/,,,
Deutsche Gesellschaft für Prävention und Rehabilitation von Herz-Kreislauferkrankungen e.V.,DGPR,Fachgesellschaft,,,http://www.dgpr.de,,,
Deutsche Gesellschaft für Public Health,DGPH,Fachgesellschaft,,,http://www.deutsche-gesellschaft-public-health.de/,,,
Deutsche Gesellschaft für Sozialmedizin und Prävention,DGSMP,Fachgesellschaft,,,http://www.dgsmp.de/,,,
Deutsche Gesellschaft für Sozialpädiatrie und Jugendmedizin,DGSPJ,Fachgesellschaft,,,http://www.dgspj.de/,,,
Gesellschaft der epidemiologischen Krebsregister in Deutschland,GEKID,Fachgesellschaft,,,www.gekid.de,,,
"Gesellschaft für Hygiene, Umweltmedizin und Präventivmedizin",,Fachgesellschaft,,,www.ghup.de,,,
Gesundheitsziele.de,,Patientenorganisation,,,www.gvg.org,,,
Bayerisches Staatsministerium für Gesundheit und Pflege,,Politik,,,www.stmgp.bayern.de,,,
"Behörde für Gesundheit und Verbraucherschutz, Hamburg",,Politik,,,http://www.hamburg.de/bgv/,,,
Bundesministerium der Arbeit und Soziales,BMAS,Ministerium,,,http://www.bmas.de,,,
Bundesministerium des Inneren ,BMI,Ministerium,,,http://www.bmi.bund.de,,,
Bundesministerium für Bildung und Forschung,BMBF,Ministerium,,,www.bmbf.de,,,
Bundesministerium für Ernährung und Landwirtschaft,BMEL,Ministerium,,,https://www.bmel.de,,,
"Bundesministerium für Familie, Senioren, Frauen und Jugend",BMFSJ,Ministerium,,,www.bmfsfj.de,,,
Bundesministerium für Justiz und Verbraucherschutz,BMJV,Ministerium,,,https://www.bmjv.de,,,
"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit (BMUB)",,Ministerium,,,www.bmub.bund.de,,,
"Die Senatorin für Wissenschaft, Gesundheit und Verbraucherschutz in Bremen",,Politik,,,http://www.gesundheit.bremen.de,,,
Gesundheitsministerkonferenz,GMK,Politik,,,,,,
Hessisches Ministerium für Soziales und Integration,,Politik,,,https://soziales.hessen.de/,,,
Kultusministerkonferenz,KMK,Politik,,,https://www.kmk.org/,,,
"Ministerium für Arbeit, Soziales und Integration des Landes Sachsen-Anhalt",,Ministerium,,,ms.sachsen-anhalt.de,,,
"Ministerium für Arbeit, Soziales, Gesundheit und Frauen des Landes Brandenburg",,Ministerium,,,http://www.masgf.brandenburg.de,,,
"Ministerium für Gesundheit, Emanzipation, Pflege und Alter des Landes Nordrhein-Westfalen",,Ministerium,,,www.mgepa.nrw.de,,,
Ministerium für Soziales und Integration des Landes Baden-Württemberg,,Ministerium,,,http://sozialministerium.baden-wuerttemberg.de,,,
"Ministerium für Soziales, Arbeit, Gesundheit und Demografie des Landes Rheinland-Pfalz",,Ministerium,,,msagd.rlp.de,,,
"Ministerium für Soziales, Gesundheit, Frauen und Familie, Saarland",,Ministerium,,,www.saarland.de/ministerium_soziales_gesundheit_frauen_familie.htm,,,
"Ministerium für Soziales, Gesundheit, Wissenschaft und Gleichstellung des Landes Schleswig-Holstein",,Ministerium,,,http://www.schleswig-holstein.de/DE/Landesregierung/VIII/viii_node.html,,,
"Ministerium für Wirtschaft, Arbeit und Gesundheit des Landes Mecklenburg-Vorpommern",,Ministerium,,,http://www.regierung-mv.de/Landesregierung/wm/,,,
"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung",,Ministerium,,,http://www.ms.niedersachsen.de,,,
Sächsisches Staatsministerium für Soziales und Verbraucherschutz,,Ministerium,,,http://www.sms.sachsen.de/,,,
"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung des Landes Berlin",,Politik,,,www.berlin.de/sen/gpg/,,,
"Thüringer Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie",,Ministerium,,,http://www.thueringen.de/th7/tmasgff/,,,
Bundesärztekammer,,Selbstverwaltung,,,http://www.bundesaerztekammer.de/,,,
Deutsche Krankenhausgesellschaft,,Selbstverwaltung,,,www.dkgev.de,,,
Gemeinsamer Bundesausschuss,G-BA,Selbstverwaltung,,,www.g-ba.de,,,
Kassenärztliche Bundesvereinigung,KBV,Selbstverwaltung,,,www.kbv.de,,,
Kassenzahnärztliche Bundesvereinigung (KZBV) Köln,,Selbstverwaltung,,,www.kzbv.de,,,
VDEK,,Selbstverwaltung,,,https://www.vdek.com,,,
AOK Bundesverband,,Sozialversicherung,,,https://nordost.aok.de,,,
Barmer GEK,,Sozialversicherung,,,https://www.barmer.de,,,
GVK-Spitzenverband,,Sozialversicherung,,,www.gkv-spitzenverband.de,,,
Statistisches Bundesamt,,Verwaltung,,,www.destatis.de,,,
Gesunde Städte Netzwerk,,Verwaltung,,,www.gesunde-staedte-netzwerk.de,,,
Arbeitsgemeinschaft der Obersten Landesgesundheitsbehörden,,Verwaltung,,,,,,
Bundesamt für Arzneimittelsicherheit und Medizinprodukte,BfArM,Verwaltung,,,http://www.bfarm.de/DE/Home/home_node.html,,,
Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,BBK,Verwaltung,,,http://www.bbk.bund.de/DE/Home/home_node.html,,,
Bundesamt für Risikobewertung,BfR,Verwaltung,,,,,,
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),BLV,Verwaltung,,,http://www.bvl.bund.de/DE/Home/homepage_node.html,,,
Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,BauA,Verwaltung,,,https://www.baua.de/DE/Home/Home_node.html,,,
Umweltbundesamt,UBA,Verwaltung,,,http://www.umweltbundesamt.de/,,,
Veterinäramt Charlottenburg-Wilmersdorf,,Verwaltung,,,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/ordnungsamt/veterinaer-und-lebensmittelaufsicht/,,,
Wissenschaftliches Institut der AOK,WIdO,Wissenschaft,,,www.wido.de,,,
Institut für angewandte Qualitätsförderung und Forschung im Gesundheitswesen,AQUA,Wissenschaft,,,https://www.aqua-institut.de/ueber-uns/,,,
Institut für Qualität und Wirtschaftlichkeit im Gesundheitswesen,IQWIG,Wissenschaft,,,http://www.iqwig.de,,,
Institut für Qualitätssicherung und Transparenz im Gesundheitswesen,IQTiG,Wissenschaft,,,www.iqtig.org,,,
Sachverständigenrat Gesundheit,,Wissenschaft,,,www.svr-gesundheit.de,,,
Einstein Stiftung Berlin,,Wissenschaft,,,http://www.einsteinfoundation.de/,,,
Berliner Institut für Gesundheitsforschung,,Wissenschaft,,,www.bihealth.org,,,
Deutscher Ethikrat,,Wissenschaft,,,www.ethikrat.org,,,
Deutsches Institut für Ernährungsforschung,,Wissenschaft,,,http://www.dife.de/,,,
Deutsches Krebsforschungszentrum,DKFZ,Wissenschaft,,,https://www.dkfz.de/de/dkfz/struktur/organigramm.html,,,
Deutsches Zentrum für Herz-Kreislauf-Forschung e. V.,,Wissenschaft,,,https://dzhk.de/kontakt/,,,
Deutsches Zentrum für Infektionsforschung,,Wissenschaft,,,https://www.virologie.med.tum.de/dzif-deutsches-zentrum-fuer-infektionsforschung/,,,
Deutsches Konsortium für translationale Krebsforschung,,Wissenschaft,,,dktk.dkfz.de,,,
Deutsches Zentrum für Lungenforschung,,Wissenschaft,,,http://www.dzl.de/index.php/de/,,,
Deutsche Forschungsgemeinschaft,,Wissenschaft,,,http://www.dfg.de,,,
DZIF,,Wissenschaft,,,www.dzif.de,,,
Fraunhofer-Verbund Life Sciences,,Wissenschaft,,,www.lifesciences.fraunhofer.de,,,
Friedrich-Löffler-Institut,FLI,Wissenschaft,,,https://www.fli.de/de/kontakt/,,,
Helmholtz Zentrum München,,Wissenschaft,,,https://www.helmholtz-muenchen.de/,,,
Helmholz-Zentrum für Infektionsforschung,HZI,Wissenschaft,,,https://www.helmholtz-hzi.de/de/service/kontakt/?no_cache=1,,,
Leibniz-Gemeinsschaft Sektion C Lebenswissenschaften,,Wissenschaft,,,www.leibniz-gemeinschaft.de/forschung/wissenschaftliches-profil/sektion-c,,,
Leopoldina,,Wissenschaft,,,www.leopoldina.org,,,
Max-Planck-Gesellschaft,,Wissenschaft,,,https://www.mpg.de/de,,,
Max-Planck-Institute (MPI),MPI,Wissenschaft,,,https://www.mpib-berlin.mpg.de/de,,,
Max-Rubner-Institut,MRI,Wissenschaft,,,www.mri.bund.de,,,
Paul-Ehrlich-Institut (PEI),PEI,Wissenschaft,,,http://www.pei.de/DE/home/de-node.html,,,
Gesundheit für alle,,Zivilgesellschaft,,,http://www.gesundheit-ein-menschenrecht.de/,,,
Poliklinik Veddel,,Zivilgesellschaft,,,http://poliklinik1.org/poliklinik-veddel,,,
Bundesarbeitsgemeinschaft der PatientInnenstellen und -initiativen,,Zivilgesellschaft,,,www.bagp.de,,,
Deutscher Behindertenrat,,Zivilgesellschaft,,,www.deutscher-behindertenrat.de,,,
Verbände Selbsthilfe,NAKOS,Zivilgesellschaft,,,www.nakos.de,,,
Verbraucherzentrale,,Zivilgesellschaft,,,www.vzbv.de,,,
Bertelsmann Stiftung,,Zivilgesellschaft,,,www.bertelsmann-stiftung.de,,,
Friedrich-Ebert-Stiftung,,Zivilgesellschaft,,,https://www.fes.de/de/,,,
Heinrich-Böll-Stiftung,,Zivilgesellschaft,,,https://www.boell.de/,,,
Konrad-Adenauer-Stiftung,,Zivilgesellschaft,,,http://www.kas.de/,,,
Robert Bosch Stiftung GmbH,,Zivilgesellschaft,,,www.bosch-stiftung.de,,,
Arbeiterwohlfahrt,AWO,Zivilgesellschaft,,,www.awo.org,,,
Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege,,Zivilgesellschaft,,,http://www.bagfw.de/,,,
Deutscher Caritasverband,DCV,Zivilgesellschaft,,,www.caritas.de,,,
Deutsches Rotes Kreuz,DRK,Zivilgesellschaft,,,www.drk.de,,,
Diakonie Deutschland,,Zivilgesellschaft,,,https://www.diakonie.de/,,,
Paritätischer Gesamtverband,,Zivilgesellschaft,,,www.paritaet.org,,,
Zentralwohlfahrtsstelle der Juden in Deutschland,,Zivilgesellschaft,,,www.zwst.org,,,
Aktionsbündnis Nichtrauchen,,Zivilgesellschaft,,,http://www.abnr.de/,,,
Deutsches Grünes Kreuz,DGK,Zivilgesellschaft,,,www.dgk.de,,,
Kooperationsverband Gesundheitliche Chancengleichheit,,Zivilgesellschaft,,,www.gesundheitliche-chancengleichheit.de,,,
Aktionsbündnis Patientensicherheit,,Zivilgesellschaft,,,www.aps-ev.de,,,
Landesvereinigungen für Gesundheit,,Zivilgesellschaft (?),,,,,,
Ausschuss für biologische Arbeitsstoffe,ABAS,Zivilschutz,,,www.baua.de,,,
Technisches Hilfswerk,THS,Zivilschutz,,,,,,
Institut für Qualität und Transparenz von Gesundheitsinformationen,,,,,www.iqtg.de,,,
TÜV,,,,,,,,
Arbeitskreis gesundheitsfördernde Hochschulen,,,,,http://www.gesundheitsfoerdernde-hochschulen.de,,,
Berufsgenossenschaften,,,,,,,,
BKK Dachverband,,,,,http://www.bkk-dachverband.de/,,,
